gonzaga,4,Josh Perkins,37,37,31.3,3.8,8.5,.454,2.4,4.5,.530,1.4,3.9,.366,1.9,2.4,.816,0.4,2.3,2.7,6.3,1.5,0.1,2.0,2.1,11.0,
gonzaga,5,Corey Kispert,37,36,26.1,2.8,6.4,.437,1.2,2.0,.573,1.6,4.4,.374,0.8,0.9,.875,0.9,3.2,4.1,1.0,0.6,0.5,0.9,1.9,8.0,
gonzaga,6,Filip Petrusev,32,0,11.4,2.1,3.8,.554,1.8,2.8,.637,0.3,0.9,.300,2.0,2.3,.853,0.7,2.0,2.7,0.3,0.2,0.5,0.6,1.5,6.5,
gonzaga,7,Killian Tillie,15,0,16.6,2.3,4.7,.500,1.4,2.5,.553,0.9,2.1,.438,0.6,0.9,.643,0.8,3.1,3.9,1.5,0.7,0.7,0.7,2.9,6.2,
gonzaga,8,Geno Crandall,28,1,18.4,1.7,3.8,.449,1.3,2.3,.556,0.5,1.6,.295,1.1,1.5,.698,0.2,1.7,1.9,2.2,1.1,0.1,1.5,2.4,5.0,
gonzaga,9,Jeremy Jones,37,1,14.1,1.0,1.6,.610,0.7,0.9,.714,0.3,0.6,.458,0.8,1.1,.750,0.7,2.6,3.2,0.9,0.5,0.2,0.5,1.3,3.1,
gonzaga,10,Joel Ayayi,23,0,5.6,0.7,1.4,.531,0.6,0.9,.667,0.1,0.5,.273,0.1,0.3,.286,0.3,1.1,1.4,0.5,0.3,0.0,0.1,0.5,1.7,
gonzaga,11,Jack Beach,18,1,2.7,0.2,0.6,.400,0.0,0.0,,0.2,0.6,.400,0.0,0.0,,0.1,0.2,0.3,0.1,0.0,0.0,0.0,0.2,0.7,
gonzaga,12,Greg Foster Jr,28,0,4.6,0.3,0.9,.280,0.2,0.4,.455,0.1,0.5,.143,0.1,0.3,.375,0.0,0.4,0.4,0.4,0.1,0.0,0.3,0.4,0.7,
gonzaga,13,Matthew Lang,11,0,2.0,0.3,0.5,.600,0.2,0.2,1.000,0.1,0.3,.333,0.1,0.1,1.000,0.4,0.0,0.4,0.0,0.0,0.0,0.1,0.0,0.7,
gonzaga,14,Alex Martin,3,0,0.3,0.0,0.3,.000,0.0,0.0,,0.0,0.3,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
tennessee,1,Grant Williams,37,37,31.9,6.3,11.2,.564,5.9,10.0,.593,0.4,1.2,.326,5.8,7.0,.819,2.2,5.3,7.5,3.2,1.1,1.5,2.2,3.0,18.8,
tennessee,2,Admiral Schofield,37,37,31.8,6.4,13.6,.474,4.4,8.8,.505,2.0,4.8,.418,1.6,2.3,.698,1.2,5.0,6.1,2.0,0.9,0.5,1.9,2.5,16.5,
tennessee,3,Jordan Bone,37,37,32.9,5.0,10.8,.465,3.7,7.0,.525,1.4,3.8,.355,2.1,2.5,.835,0.5,2.7,3.2,5.8,0.7,0.1,2.0,1.3,13.5,
tennessee,4,Lamonte Turner,28,19,31.0,3.9,9.2,.420,2.1,3.7,.567,1.8,5.5,.320,1.4,1.8,.784,0.3,2.4,2.7,3.8,1.3,0.1,1.5,2.5,10.9,
tennessee,5,Jordan Bowden,36,5,27.8,3.6,7.8,.459,2.1,4.0,.535,1.4,3.8,.378,2.1,2.6,.817,0.6,2.9,3.5,1.9,0.9,0.3,1.0,2.1,10.6,
tennessee,6,Kyle Alexander,37,37,23.8,2.9,4.8,.619,2.9,4.6,.627,0.1,0.2,.429,1.4,2.1,.658,2.6,4.1,6.7,0.5,0.5,1.7,1.2,2.7,7.4,
tennessee,7,John Fulkerson,36,0,12.0,1.2,2.0,.583,1.2,2.0,.583,0.0,0.0,,0.8,1.3,.644,1.1,1.6,2.6,0.7,0.5,0.7,0.6,1.9,3.1,
