houston,Brison Gresham,55,SO,F,6-8,225,New Orleans, LA,McDonogh No. 35 High School,, 3.5 Pts, 3.5 Reb, 0.4 Ast,
houston,Chris Harris,1,JR,C,6-10,245,Houston, TX,Madison HS,, 2.5 Pts, 3.3 Reb, 0.1 Ast,
houston,Landon Goesling,2,SR,G,6-0,175,Bakersfield, CA,Coppell,, 2.8 Pts, 0.6 Reb, 0.4 Ast,
houston,Caleb Broodo,30,FR,C,6-7,230,Midland, MI,Dow HS,, 0.3 Pts, 0.9 Reb, 0.0 Ast,
houston,Justin Gorham,4,JR,F,6-7,225,Baltimore, MD,Calvert Hall College High School,,,
houston,Caleb Mills,20,,G,6-3,165,Arden, NC,T.C. Roberson HS,,,
houston,Neil Vanbeck,15,FR,G,6-4,200,Houston, TX,Westside HS,,,
texas-tech,Jarrett Culver,23,SO,G,6-5,195,Lubbock, TX,Coronado High School,, 18.5 Pts, 6.4 Reb, 3.7 Ast,
texas-tech,Davide Moretti,25,SO,G,6-2,175,Bologna, Italy,Treviso Basket,, 11.5 Pts, 2.1 Reb, 2.4 Ast,
texas-tech,Matt Mooney,13,SR,G,6-3,200,Wauconda, IL,Notre Dame,, 11.3 Pts, 3.1 Reb, 3.3 Ast,
texas-tech,Tariq Owens,11,SR,F,6-10,205,Odenton, MD,St. Vincent Pallotti,, 8.7 Pts, 5.8 Reb, 0.7 Ast,
texas-tech,Brandone Francis,1,SR,G,6-5,215,La Romana, Dominican Republic,Arlington Country Day,31 (2014), 6.5 Pts, 2.4 Reb, 1.4 Ast,
texas-tech,Kyler Edwards,0,FR,G,6-3,200,Arlington, TX,Findlay Prep,, 5.5 Pts, 2.2 Reb, 1.1 Ast,
texas-tech,Deshawn Corprew,3,SO,F,6-5,210,Norfolk, VA,,, 5.0 Pts, 3.3 Reb, 0.4 Ast,
texas-tech,Norense Odiase,32,SR,C,6-8,250,Fort Worth, TX,North Crowley,, 4.2 Pts, 5.4 Reb, 0.3 Ast,
texas-tech,Malik Ondigo,10,SO,F,6-10,215,El Mirage, AZ,Dysart High School,, 1.3 Pts, 1.2 Reb, 0.1 Ast,
texas-tech,Parker Hicks,20,SO,G,6-6,210,Decatur, TX,Decatur High School,, 1.0 Pts, 0.8 Reb, 0.0 Ast,
texas-tech,Josh Mballa,35,FR,F,6-7,215,Bordeaux, France,Putnam Science Academy,, 0.8 Pts, 0.3 Reb, 0.1 Ast,
texas-tech,Avery Benson,24,FR,G,6-3,190,Springdale, AR,Southwest Christian Academy,, 0.6 Pts, 0.6 Reb, 0.3 Ast,
texas-tech,Andrew Sorrells,30,JR,G,6-3,175,North Richland Hills, TX,Birdville HS,, 0.5 Pts, 0.2 Reb, 0.1 Ast,
texas-tech,Khavon Moore,21,FR,F,6-7,215,Macon, GA,Westside HS,45 (2018), 0.0 Pts, 0.0 Reb, 0.0 Ast,
louisiana-state,Tremont Waters,3,SO,G,5-11,175,New Haven, CT,Notre Dame High School,38 (2017), 15.3 Pts, 2.8 Reb, 5.8 Ast,
louisiana-state,Skylar Mays,4,JR,G,6-4,200,Baton Rouge, LA,Louisiana State University Laboratory School,, 13.4 Pts, 3.3 Reb, 2.1 Ast,
louisiana-state,Naz Reid,0,FR,F,6-10,250,Ashbury Park, NJ,Roselle Catholic HS,18 (2018), 13.6 Pts, 7.2 Reb, 0.9 Ast,
louisiana-state,Ja'vonte Smart,1,FR,G,6-4,200,Baton Rouge, LA,Scotlandville Magnet HS,33 (2018), 11.1 Pts, 3.3 Reb, 2.4 Ast,
louisiana-state,Kavell Bigby-Williams,11,SR,F,6-11,250,London, United Kingdom,Harris Academy Beckenham,, 7.9 Pts, 6.7 Reb, 0.5 Ast,
louisiana-state,Emmitt Williams,24,FR,F,6-6,225,Fort Myers, FL,Oak Ridge HS,26 (2018), 7.0 Pts, 5.4 Reb, 0.4 Ast,
louisiana-state,Marlon Taylor,14,JR,G,6-5,210,Mount Vernon, NY,Mount Vernon HS,, 6.7 Pts, 3.6 Reb, 0.6 Ast,
louisiana-state,Darius Days,22,FR,F,6-6,225,Raleigh, FL,IMG Academy,59 (2018), 5.3 Pts, 4.0 Reb, 0.4 Ast,
louisiana-state,Daryl Edwards,5,SR,G,6-3,185,Fresno, CA,Fresno Central High School,, 4.4 Pts, 1.6 Reb, 1.2 Ast,
louisiana-state,Marshall Graves,12,JR,G,6-4,195,Ponchatoula, LA,Louisiana State University Laboratory School,, 2.5 Pts, 0.6 Reb, 0.2 Ast,
louisiana-state,Will Reese,13,SO,G,6-3,205,Leesville, LA,Anacoco HS,, 0.4 Pts, 0.4 Reb, 0.3 Ast,
louisiana-state,Courtese Cooper,21,SO,F,6-8,205,Elgin, IL,Elgin HS,,,
louisiana-state,Aundre Hyatt,15,FR,F,6-5,225,Bronx, NY,Miller School,,,
louisiana-state,Danya Kingsby,20,JR,G,6-1,170,Milwaukee, WI,Arlington Country Day Prep,,,
louisiana-state,Wayde Sims,44,,F,6-6,217,Baton Rouge, LA,Louisiana State University Laboratory School,,,
purdue,Carsen Edwards,3,JR,G,6-1,200,Atascocita, TX,Atascocita High School,, 24.3 Pts, 3.6 Reb, 2.9 Ast,
purdue,Ryan Cline,14,SR,G,6-6,195,Carmel, IN,Carmel HS,, 12.0 Pts, 2.9 Reb, 3.3 Ast,
purdue,Matt Haarms,32,SO,C,7-3,250,Amsterdam, Netherlands,Sunrise Christian Academy,, 9.4 Pts, 5.4 Reb, 1.1 Ast,
purdue,Nojel Eastern,20,SO,G,6-6,220,Evanston, IL,Evanston Township High School,67 (2017), 7.5 Pts, 5.5 Reb, 2.5 Ast,
purdue,Grady Eifert,24,SR,F,6-6,220,Fort Wayne, IN,Bishop Dwenger HS,, 5.5 Pts, 5.2 Reb, 1.6 Ast,
purdue,Trevion Williams,50,FR,F,6-9,280,Chicago, IL,Henry Ford Academy,, 5.2 Pts, 4.0 Reb, 0.5 Ast,
purdue,Aaron Wheeler,1,FR,F,6-9,200,Stamford, CT,Brewster Academy,, 4.7 Pts, 3.0 Reb, 0.4 Ast,
purdue,Evan Boudreaux,12,JR,F,6-8,220,Lake Forest, IL,Lake Forest High School,, 5.2 Pts, 3.0 Reb, 0.6 Ast,
purdue,Sasha Stefanovic,55,FR,G,6-4,195,Crown Point, IN,Crown Point HS,, 2.5 Pts, 1.1 Reb, 0.4 Ast,
purdue,Eric Hunter Jr.,2,FR,G,6-3,170,Indianapolis, IN,Tindley Prep,, 2.2 Pts, 1.4 Reb, 1.1 Ast,
purdue,Tommy Luce,15,JR,G,5-10,155,Jeffersonville, IN,Jeffersonville High School,, 0.8 Pts, 0.0 Reb, 0.1 Ast,
purdue,Kyle King,23,FR,F,6-6,215,St. Charles, IL,Saint Charles North HS,, 0.0 Pts, 0.5 Reb, 0.1 Ast,
purdue,Emmanuel Dowuona,4,FR,C,6-10,230,Miami, FL,Westwood Christian HS,,,
kansas,Dedric Lawson,1,JR,F,6-9,235,Memphis, TN,Hamilton HS,32 (2015), 19.4 Pts, 10.3 Reb, 1.7 Ast,
kansas,Devon Dotson,11,FR,G,6-2,185,Charlotte, NC,Providence Day School,20 (2018), 12.3 Pts, 3.7 Reb, 3.5 Ast,
kansas,Lagerald Vick,24,SR,G,6-5,190,Memphis, TN,Douglass HS,56 (2015), 14.1 Pts, 4.0 Reb, 1.9 Ast,
kansas,Quentin Grimes,5,FR,G,6-5,210,The Woodlands, TX,College Park HS,8 (2018), 8.4 Pts, 2.5 Reb, 2.0 Ast,
kansas,Marcus Garrett,0,SO,G,6-5,195,Dallas, TX,Skyline High School,54 (2017), 7.3 Pts, 4.2 Reb, 1.9 Ast,
kansas,Ochai Agbaji,30,FR,G,6-5,210,Kansas City, MO,Oak Park HS,, 8.5 Pts, 4.6 Reb, 0.9 Ast,
kansas,David McCormack,33,FR,F,6-10,265,Norfolk, VA,Oak Hill Academy,30 (2018), 3.9 Pts, 3.1 Reb, 0.4 Ast,
kansas,Udoka Azubuike,35,JR,C,7-0,270,Delta, Nigeria,Potter's House Christian Acadekmy,33 (2016), 13.4 Pts, 6.8 Reb, 0.6 Ast,
kansas,K.J. Lawson,13,SO,G,6-8,210,Memphis, TN,Hamilton HS,46 (2015), 3.1 Pts, 2.0 Reb, 0.5 Ast,
kansas,Charlie Moore,2,SO,G,5-11,180,Chicago, IL,Morgan Park High School,58 (2016), 2.9 Pts, 1.0 Reb, 1.3 Ast,
kansas,Mitch Lightfoot,44,JR,F,6-8,225,Gilbert, AZ,Ironwood Ridge High School,, 2.4 Pts, 2.9 Reb, 0.4 Ast,
kansas,Chris Teahan,12,SO,G,6-4,195,Leawood, KS,Rockhurst High School,, 0.5 Pts, 0.1 Reb, 0.1 Ast,
kansas,Garrett Luinstra,20,FR,G,6-2,155,Lawrence, KS,Lawrence Free State HS,, 0.0 Pts, 0.1 Reb, 0.3 Ast,
